MODL DM01AVBE11LV95D;MODL MD01MOBE11MN95F
TABL BenanntesGebiet;TABL Lieu_denomme
TABL BenanntesGebiet_Flaeche;TABL Lieu_denomme_Geometrie
TABL Strassenstueck;TABL Troncon_rue
TABL Gebaeudeeingang;TABL Entree_batiment
TABL HausnummerPos;TABL PosNumero_maison
TABL HausnummerPosUP2;TABL PosNumero_maisonUP2
TABL HausnummerPosUP5;TABL PosNumero_maisonUP5
TABL GebaeudeName;TABL Nom_batiment
TABL GebaeudeNamePos;TABL PosNom_batiment
TABL GebaeudeNamePosUP2;TABL PosNom_batimentUP2
TABL GebaeudeNamePosUP5;TABL PosNom_batimentUP5
TABL GebaeudeBeschreibung;TABL Description_batiment
TOPI Planrahmen;TOPI Bords_de_plan
TABL PlanLayout;TABL Bord_de_plan
TABL Planbeschriftung;TABL Description_plan
TABL PlanbeschriftungPos;TABL PosDescription_plan
TABL Koordinatenanschrift;TABL Indication_coordonnees
TABL KoordinatenanschriftPos;TABL PosIndication_coord
TABL Linienobjekt;TABL Element_lineaire
TABL KoordinatenLinie;TABL Ligne_coordonnees
TABL Darstellungsflaeche;TABL Surface_representation
TABL Darstellungsflaeche_Geometrie;TABL Surface_representation_Geometrie
TABL PlanLayoutSymbol;TABL SymboleBord_de_plan
TABL Netzkreuz;TABL Croix_filet
TOPI Hoehenkurven;TOPI CourbesNiveaux
TABL HKNachfuehrung;TABL Mise_a_jourCN
TABL HKNachfuehrung_Perimeter;TABL Mise_a_jourCN_Perimetre
TABL Hoehenkurve;TABL CourbeNiveau
TABL HoehenkurvePos;TABL PosCourbeNiveau
TABL HoehenkurvePosUP2;TABL PosCourbeNiveauUP2
TABL HoehenkurvePosUP5;TABL PosCourbeNiveauUP5
